command,value
open,start
start,start
begin,start
incept,start
onset,start
emerg,start
appear,start
establish,start
inaugurat,start
induct,start
launch,start
commence,start
origin,start
seed,start
establish,start
set,start
found,start
create,start
initiate,start
inaugurate,start
introduce,start
kick-start,start
activate,start
pioneer,start
organize,start
go,start
commence,start
born,start
appear,start
arrive,start
emerge,start
erupt,start
arise,start
originate,start
unfold,start
develop,start
increase,start
high,start
up,start
grow,start
bigger,start
larger,start
greater,start
enlarge,start
expand,start
swell,start
rise,start
climb,start
escalate,start
soar,start
surge,start
rocket,start
shoot up,start
spiral,start
improve,start
intensify,start
strengthen,start
heighten,start
lengthen,start
extend,start
stretch,start
spread,start
widen,start
multiply,start
snowball,start
mushroom,start
proliferate,start
balloon,start
build,start
mount,start
pile,start
accrue,start
raise,start
elevate,start
inflate,start
magnify,start
amplify,start
boost,start
ameliorate,start
enhance,start
enrich,start
upgrade,start
worsen,start
lessen,start
reduce,start
drop,start
diminish,start
decline,start
decrease,start
dwindle,start
contract,start
shrink,start
fall off,start
die down,start
abate,start
subside,start
ebb,start
wane,start
peter out,start
lighten,start
sink,start
slump,start
plummet,start
plunge,start
less,start
lower,start
down,start
cut,start
curtail,start
narrow,start
pare dow,start
slim down,start
tone down,start
temper,start
weaken,start
deplete,start
minimize,start
slash,start
fire,start
trigger,start
play,start
